timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532548026853,12,pur,200,,loadTest 2-71,text,true,,3142,133,1,1,,12,0,1
1532548026873,12,pur,200,,loadTest 2-72,text,true,,3142,133,1,1,,12,0,0
1532548026974,278,pur,200,,loadTest 2-77,text,true,,3142,133,18,19,,278,0,0
1532548026933,322,pur,200,,loadTest 2-75,text,true,,3142,133,18,19,,322,0,1
1532548027194,63,pur,200,,loadTest 2-88,text,true,,3142,133,17,18,,63,0,1
1532548027034,226,pur,200,,loadTest 2-80,text,true,,3142,133,16,17,,226,0,1
1532548027114,148,pur,200,,loadTest 2-84,text,true,,3142,133,15,16,,148,0,1
1532548027054,211,pur,200,,loadTest 2-81,text,true,,3142,133,14,15,,211,0,1
1532548027094,171,pur,200,,loadTest 2-83,text,true,,3142,133,13,14,,171,0,1
1532548027074,194,pur,200,,loadTest 2-82,text,true,,3142,133,12,13,,194,0,1
1532548026893,379,pur,200,,loadTest 2-73,text,true,,3142,133,11,12,,379,0,0
1532548026954,325,pur,200,,loadTest 2-76,text,true,,3142,133,11,12,,325,0,0
1532548027256,29,pur,200,,loadTest 2-91,text,true,,3142,133,10,11,,29,0,0
1532548027154,130,pur,200,,loadTest 2-86,text,true,,3142,133,10,11,,130,0,1
1532548027174,116,pur,200,,loadTest 2-87,text,true,,3142,133,8,9,,116,0,1
1532548027014,278,pur,200,,loadTest 2-79,text,true,,3142,133,7,7,,278,0,1
1532548026913,379,pur,200,,loadTest 2-74,text,true,,3142,133,7,7,,379,0,1
1532548026994,298,pur,200,,loadTest 2-78,text,true,,3142,133,5,5,,298,0,1
1532548027134,158,pur,200,,loadTest 2-85,text,true,,3142,133,5,5,,158,0,1
1532548027276,21,pur,200,,loadTest 2-92,text,true,,3142,133,4,4,,21,0,0
1532548027214,87,pur,200,,loadTest 2-89,text,true,,3142,133,3,3,,87,0,1
1532548027236,73,pur,200,,loadTest 2-90,text,true,,3142,133,2,2,,73,0,0
1532548027296,16,pur,200,,loadTest 2-93,text,true,,3142,133,1,1,,16,0,0
1532548027316,13,pur,200,,loadTest 2-94,text,true,,3142,133,1,1,,13,0,1
1532548027336,13,pur,200,,loadTest 2-95,text,true,,3142,133,1,1,,13,0,1
1532548027356,13,pur,200,,loadTest 2-96,text,true,,3142,133,1,1,,13,0,1
1532548027376,12,pur,200,,loadTest 2-97,text,true,,3142,133,1,1,,12,0,0
1532548027396,12,pur,200,,loadTest 2-98,text,true,,3142,133,1,1,,12,0,0
1532548027416,12,pur,200,,loadTest 2-99,text,true,,3142,133,1,2,,12,0,0
1532548027436,13,pur,200,,loadTest 2-100,text,true,,3142,133,1,1,,13,0,0
1532548027456,12,pur,200,,loadTest 2-101,text,true,,3142,133,1,1,,12,0,0
1532548027476,12,pur,200,,loadTest 2-102,text,true,,3142,133,1,1,,12,0,0
1532548027496,12,pur,200,,loadTest 2-103,text,true,,3142,133,1,1,,12,0,0
1532548027517,14,pur,200,,loadTest 2-104,text,true,,3142,133,1,1,,14,0,0
1532548027537,13,pur,200,,loadTest 2-105,text,true,,3142,133,1,1,,13,0,0
1532548027557,13,pur,200,,loadTest 2-106,text,true,,3142,133,1,1,,13,0,0
1532548027577,12,pur,200,,loadTest 2-107,text,true,,3142,133,1,1,,12,0,0
1532548027596,12,pur,200,,loadTest 2-108,text,true,,3142,133,1,1,,12,0,1
1532548027616,12,pur,200,,loadTest 2-109,text,true,,3142,133,1,1,,12,0,1
1532548027637,12,pur,200,,loadTest 2-110,text,true,,3142,133,1,1,,12,0,0
1532548027657,12,pur,200,,loadTest 2-111,text,true,,3142,133,1,1,,12,0,0
1532548027677,12,pur,200,,loadTest 2-112,text,true,,3142,133,1,1,,12,0,0
1532548027697,12,pur,200,,loadTest 2-113,text,true,,3142,133,1,1,,12,0,0
1532548027717,11,pur,200,,loadTest 2-114,text,true,,3142,133,1,1,,11,0,0
1532548027737,11,pur,200,,loadTest 2-115,text,true,,3142,133,1,1,,11,0,0
1532548027757,12,pur,200,,loadTest 2-116,text,true,,3142,133,1,1,,12,0,0
1532548027777,11,pur,200,,loadTest 2-117,text,true,,3142,133,1,1,,11,0,0
1532548027796,12,pur,200,,loadTest 2-118,text,true,,3142,133,1,1,,12,0,0
1532548027817,12,pur,200,,loadTest 2-119,text,true,,3142,133,1,1,,12,0,1
1532548027837,12,pur,200,,loadTest 2-120,text,true,,3142,133,1,1,,12,0,1
1532548027857,13,pur,200,,loadTest 2-121,text,true,,3142,133,1,1,,13,0,1
1532548027877,12,pur,200,,loadTest 2-122,text,true,,3142,133,1,1,,12,0,1
