sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,8839,741,149,465,15,20376,0.003959723950673153,36.85849988949539,113.03383630305785,2555.1870431416337
TOTAL,8839,741,149,465,15,20376,0.003959723950673153,36.85849988949539,113.03383630305785,2555.1870431416337
