sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP,500,3,1,15,4,1.149919997217198,0.0,49.925112331502746,18.819427109335994,386.0
TOTAL,500,3,1,15,4,1.149919997217198,0.0,49.925112331502746,18.819427109335994,386.0
