sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
pur,498,68,12,278,11,742,0.0,47.93993068925684,147.09693576723143,152.7671668296994
TOTAL,498,68,12,278,11,742,0.0,47.93993068925684,147.09693576723143,152.7671668296994
